"vehicle_category_id","vehicle_category_name","seating_capacity","max_capacity","folding_seats","wheelchair_boarding","wheelchair_capacity","wheelchair_spots","bike_boarding","bike_spots","bike_rack_capacity","luggage_boarding","pets_boarding","service_animal_allowed","ac_availability","ac_level","ac_temperature","wifi_availability","usb_charging_availability","vehicle_length","vehicle_width","floor_height","stair_count","vehicle_type_code","contactless_payment_onboard","video_surveillance_availability","passenger_counting_availability"
"182U","VITA - EVOBUS SETRA S313UL","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"184U","VITA - MERCEDES BENZ INTOURO","","80","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"191U","Miccolis - Temsa Avenue 12m","","90","","2","1","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"192U","Miccolis - Isuzu 12m","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"193U","Miccolis - Temsa Electron 12m","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"194U","Miccolis - Ford Elettrico","","30","","1","0","","0","","","0","0","0","0","","","0","0","8","","","","3","0","1","0"
"195U","Miccolis - Quantrum 12m","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"200U","Cavourese - MAN A76","","70","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"210U","Benese - Crossway LE","","70","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","3","0","1","0"
"211U","Benese - Higer","","40","","1","0","","0","","","0","0","0","0","","","0","0","8","","","","3","0","1","0"
"301U","Canova - VDL - Ambassador 200","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"302U","Canova - VDL - Citea","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"500U","Tram storico","","50","","1","0","","0","","","0","0","0","0","","","0","0","10","","","","0","0","1","0"
"2500U","Tram storici serie 2500","","116","","1","0","","0","","","0","0","0","0","","","0","0","14","","","","0","0","1","0"
"2700U","Tram storici serie 2700","","162","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","0","0","1","0"
"2800U","Tram storici serie 2800","","170","","1","0","","0","","","0","0","0","0","","","0","0","20","","","","0","0","1","0"
"2801U","Tram serie 2800 - 1a serie","","170","","1","0","","0","","","0","0","0","0","","","0","0","20","","","","0","0","1","0"
"2802U","Tram serie 2800 - 2a serie","","170","","1","0","","0","","","0","0","0","0","","","0","0","20","","","","0","0","1","0"
"2803U","Tram serie 2800 - 1a serie verde","","170","","1","0","","0","","","0","0","0","0","","","0","0","20","","","","0","0","1","0"
"2840U","Tram storico ristorante","","32","","1","0","","0","","","0","0","0","0","","","0","0","20","","","","0","0","1","0"
"3100U","Tram storici serie 3100","","108","","1","0","","0","","","0","0","0","0","","","0","0","14","","","","0","0","1","0"
"3250U","Tram storici serie 3250","","110","","1","0","","0","","","0","0","0","0","","","0","0","14","","","","0","0","1","0"
"3500U","Tram storici serie 3500","","142","","1","0","","0","","","0","0","0","0","","","0","0","14","","","","0","0","1","0"
"4000U","EXTRA - Irisbus My Way 399.12.35","","75","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"5000U","T.P.R. (TRAM A PAVIMENTO RIBASSATO)","","181","","2","1","","0","","","0","0","0","0","","","0","0","22","","","","0","1","1","1"
"6001U","T.P.I.R. MONODIREZIONALE","","201","","2","1","","0","","","0","0","0","0","","","0","0","34","","","","0","1","1","1"
"6002U","T.P.I.R. BIDIREZIONALE","","197","","2","1","","0","","","0","0","0","0","","","0","0","34","","","","0","1","1","1"
"8000U","TRAM HITACHI RAIL","","210","","2","1","","0","","","0","0","0","0","","","0","0","28","","","","0","1","1","1"
"9200U","IIA MENARINIBUS CITYMOOD CNG 12","","90","","1","0","","0","","","0","0","0","0","","","0","0","12","","","","3","0","1","0"
"9300U","IVECO URBANWAY CNG 18","","140","","1","0","","0","","","0","0","0","0","","","0","0","18","","","","3","0","1","0"
