"timetable_page_id","timetable_page_label","filename"
"3316E_As","LINEA 3316 - Chivasso F.S. - Rondissone","3316E_As.html"
"3316E_Di","LINEA 3316 - Chivasso F.S. - Rondissone","3316E_Di.html"
"3321E_As","LINEA 3321 - Montalenghe - Foglizzo - Chivasso","3321E_As.html"
"3321E_Di","LINEA 3321 - Montalenghe - Foglizzo - Chivasso","3321E_Di.html"
"3329E_As","LINEA 3329 - Cirié - Torino (Fiat Mirafiori)","3329E_As.html"
"3329E_Di","LINEA 3329 - Cirié - Torino (Fiat Mirafiori)","3329E_Di.html"
"3331E_As","LINEA 3331 - Verrua Savoia - Crescentino - Brusasco","3331E_As.html"
"3331E_Di","LINEA 3331 - Verrua Savoia - Crescentino - Brusasco","3331E_Di.html"
"3382E_As","LINEA 3382 - Torino (C.so Marche) - Caselle ALENIA","3382E_As.html"
"3382E_Di","LINEA 3382 - Torino (C.so Marche) - Caselle ALENIA","3382E_Di.html"
"33U_As","LINEA 33 - c. Papa Giovanni XXIII (Collegno) - c. Vittorio Emanuele II (feriale)/p.le Adua (festivo)","33U_As.html"
"33U_Di","LINEA 33 - c. Papa Giovanni XXIII (Collegno) - c. Vittorio Emanuele II (feriale)/p.le Adua (festivo)","33U_Di.html"
"3428E_As","LINEA 3428 - Servizio Scuolabus Comune di Rivarossa","3428E_As.html"
"3428E_Di","LINEA 3428 - Servizio Scuolabus Comune di Rivarossa","3428E_Di.html"
"3429E_As","LINEA 3429 - Servizio Scuolabus San Benigno - Volpiano - Chivasso","3429E_As.html"
"3429E_Di","LINEA 3429 - Servizio Scuolabus San Benigno - Volpiano - Chivasso","3429E_Di.html"
"3445E_As","LINEA 3445 - Chivasso - Caluso","3445E_As.html"
"3445E_Di","LINEA 3445 - Chivasso - Caluso","3445E_Di.html"
"34U_As","LINEA 34 - feriale, via Bertani / strada Torino (Beinasco) - via Ventimiglia","34U_As.html"
"34U_Di","LINEA 34 - feriale, via Bertani / strada Torino (Beinasco) - via Ventimiglia","34U_Di.html"
"3502E_As","LINEA 3502 - Servizio Scuolabus San Maurizio - Castellamonte","3502E_As.html"
"3502E_Di","LINEA 3502 - Servizio Scuolabus San Maurizio - Castellamonte","3502E_Di.html"
"3545E_As","LINEA 3545 - Linea operaia Carignano - Torino - Chivasso (P.I.Chi)","3545E_As.html"
"3545E_Di","LINEA 3545 - Linea operaia Carignano - Torino - Chivasso (P.I.Chi)","3545E_Di.html"
"35NU_As","LINEA 35 navetta - via Verdi (Candiolo) - Vill. Dega (Vinovo) - via Trento (Nichelino)","35NU_As.html"
"35NU_Di","LINEA 35 navetta - via Verdi (Candiolo) - Vill. Dega (Vinovo) - via Trento (Nichelino)","35NU_Di.html"
"35U_As","LINEA 35 - via Amendola (Nichelino) - via Artom","35U_As.html"
"35U_Di","LINEA 35 - via Amendola (Nichelino) - via Artom","35U_Di.html"
"36NU_As","LINEA 36 navetta - Castello di Rivoli - Ospedale di Rivoli / Stazione Alpignano - Rivoli / Bruere - Tetti Neirotti","36NU_As.html"
"36NU_Di","LINEA 36 navetta - Castello di Rivoli - Ospedale di Rivoli / Stazione Alpignano - Rivoli / Bruere - Tetti Neirotti","36NU_Di.html"
"36U_As","LINEA 36 - piazza Martiri della Libertà (Rivoli) - piazza Massaua","36U_As.html"
"36U_Di","LINEA 36 - piazza Martiri della Libertà (Rivoli) - piazza Massaua","36U_Di.html"
"38U_As","LINEA 38 - piazzale Caio Mario (feriale)/corso Maroncelli (festivo) - via Minghetti (Collegno)","38U_As.html"
"38U_Di","LINEA 38 - piazzale Caio Mario (feriale)/corso Maroncelli (festivo) - via Minghetti (Collegno)","38U_Di.html"
"3950E_As","LINEA 3950 - Servizio Scuolabus Comune di Verolengo","3950E_As.html"
"3950E_Di","LINEA 3950 - Servizio Scuolabus Comune di Verolengo","3950E_Di.html"
"3971E_As","LINEA 3971 - TORINO FOSSATA REBAUDENGO FS - CERES","3971E_As.html"
"3971E_Di","LINEA 3971 - TORINO FOSSATA REBAUDENGO FS - CERES","3971E_Di.html"
"3990U_As","LINEA Venaria Express - Venaria Express (sabato e festivi), Torino - Reggia di Venaria","3990U_As.html"
"3990U_Di","LINEA Venaria Express - Venaria Express (sabato e festivi), Torino - Reggia di Venaria","3990U_Di.html"
"39U_As","LINEA 39 - piazza Baden Baden (Moncalieri) - piazzale Caio Mario","39U_As.html"
"39U_Di","LINEA 39 - piazza Baden Baden (Moncalieri) - piazzale Caio Mario","39U_Di.html"
"3U_As","LINEA 3 - piazzale Vallette - piazza Hermada","3U_As.html"
"3U_Di","LINEA 3 - piazzale Vallette - piazza Hermada","3U_Di.html"
"40U_As","LINEA 40 - feriale, piazzale Caio Mario - piazza Massaua","40U_As.html"
"40U_Di","LINEA 40 - feriale, piazzale Caio Mario - piazza Massaua","40U_Di.html"
"4108E_As","LINEA 4108 - Ivrea - Vische - Chivasso","4108E_As.html"
"4108E_Di","LINEA 4108 - Ivrea - Vische - Chivasso","4108E_Di.html"
"4147E_As","LINEA 4147 - Vialfre' - Castellamonte (Mercatale)","4147E_As.html"
"4147E_Di","LINEA 4147 - Vialfre' - Castellamonte (Mercatale)","4147E_Di.html"
"4151E_As","LINEA 4151 - Cossano - Ivrea","4151E_As.html"
"4151E_Di","LINEA 4151 - Cossano - Ivrea","4151E_Di.html"
"4152E_As","LINEA 4152 - Silva - Vialfre' - Ivrea","4152E_As.html"
"4152E_Di","LINEA 4152 - Silva - Vialfre' - Ivrea","4152E_Di.html"
"4153E_As","LINEA 4153 - Ivrea Linea 5 (Quassolo - Bienca)","4153E_As.html"
"4153E_Di","LINEA 4153 - Ivrea Linea 5 (Quassolo - Bienca)","4153E_Di.html"
