"timetable_id","route_id","direction_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","timetable_label","service_notes","orientation","timetable_page_id","timetable_sequence","direction_name","include_exceptions","show_trip_continuation"
"45","1091E","1","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Collegno - Rubiana","domenica e festivi","horizontal","1091E_As","2","","0","0"
"46","1091E","0","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Collegno - Rubiana","dal lunedì al venerdì","horizontal","1091E_Di","0","","0","0"
"47","1091E","0","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Collegno - Rubiana","sabato","horizontal","1091E_Di","1","","0","0"
"48","1091E","0","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Collegno - Rubiana","domenica e festivi","horizontal","1091E_Di","2","","0","0"
"49","1099E","1","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Servizio Atipico Chiusa San Michele - Condove","dal lunedì al venerdì","horizontal","1099E_As","0","","0","0"
"50","1099E","1","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Servizio Atipico Chiusa San Michele - Condove","sabato","horizontal","1099E_As","1","","0","0"
"51","1099E","1","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Servizio Atipico Chiusa San Michele - Condove","domenica e festivi","horizontal","1099E_As","2","","0","0"
"52","1099E","0","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Servizio Atipico Condove - Chiusa San Michele","dal lunedì al venerdì","horizontal","1099E_Di","0","","0","0"
"53","1099E","0","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Servizio Atipico Condove - Chiusa San Michele","sabato","horizontal","1099E_Di","1","","0","0"
"54","1099E","0","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Servizio Atipico Condove - Chiusa San Michele","domenica e festivi","horizontal","1099E_Di","2","","0","0"
