"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"95U","U","95","speciale stabilimenti, stazione Lingotto - corso Tazzoli - via Rivalta (Grugliasco)","CORSO TAZZOLI / VIA RIVALTA (GRUGLIASCO) -- STAZIONE LINGOTTO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=95&Regol=OR","FF9900","0000FF","105"
"95BU","U","95 /","speciale stabilimenti, stazione Lingotto - via Anselmetti - via Biscaretti - via Faccioli","VIA ANSELMETTI / VIA BISCARETTI / VIA FACCIOLI -- STAZIONE LINGOTTO","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=95B&Regol=OR","FF9900","0000FF","106"
"96U","U","96","speciale stabilimenti, via Amendola (Nichelino) - corso Tazzoli","CORSO TAZZOLI -- VIA AMENDOLA (NICHELINO)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=96&Regol=OR","FF9900","0000FF","107"
"97U","U","97","speciale stabilimenti, piazza Martiri della Libertà (Rivoli) - via Biscaretti","VIA BISCARETTI -- PIAZZA MARTIRI DELLA LIBERTA'  (RIVOLI)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=97&Regol=OR","FF9900","0000FF","108"
"98U","U","98","speciale stabilimenti, via Portalupi (Collegno) - via Biscaretti","VIA BISCARETTI -- VIA PORTALUPI (COLLEGNO)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=98&Regol=OR","FF9900","0000FF","109"
"99U","U","99","speciale stabilimenti, piazza Carducci (Santena) - via Plava","VIA PLAVA -- PIAZZA CARDUCCI (SANTENA)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=99&Regol=OR","FF9900","0000FF","110"
"B1U","U","B1","via Scialoja - piazza Baldissera","PIAZZA BALDISSERA -- VIA SCIALOJA","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=B1&Regol=OR","FF9900","0000FF","364"
"CP1U","U","CP1","via De Amicis (Fermi M1 - Collegno) - via Musinè (Pianezza)","VIA DE AMICIS (COLLEGNO) -- VIA MUSINÈ (PIANEZZA)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=CP1&Regol=OR","FF9900","0000FF","113"
"E68U","U","E68","notturna, piazza Vittorio Veneto - via Cafasso","PIAZZA VITTORIO VENETO -- VIA CAFASSO (INV) / GASSINO (EST)","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=E68&Regol=OR","FF9900","0000FF","136"
"E68BU","U","E68B","notturna, piazza Vittorio Veneto - Chieri","PIAZZA VITTORIO VENETO -- CHIERI","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=E68B&Regol=OR","FF9900","0000FF","137"
