ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
068000000809,halagjwm,,,Wharford Lane,,Wharford Lane,,Wharford Lane,,Wharford Lane,,,,,,SE,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,356372,383473,-2.6568,53.34634,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000810,halagjwp,,,Wharford Lane,,Wharford Lane,,Wharford Lane,,Wharford Lane,,,,,,W,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,356366,383473,-2.65689,53.34634,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000811,halagjwt,,,Selby Close,,Selby Close,,Selby Close,,Newmoor Lane,,,,,,NE,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,356563,383545,-2.65394,53.347,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000812,halagmad,,,Selby Close,,Selby Close,,Selby Close,,Newmoor Lane,,,,,,SW,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,356565,383537,-2.65391,53.34693,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000819,halpdwpw,,,Manor Park,,Rokeby Court,,Warrington Road,,Rokeby Court,,,,In,,W,N0065325,Manor Park,Runcorn,,Runcorn,EN,Manor Park,EN,false,UKOS,355848,383928,-2.66473,53.35039,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000825,halagmdg,,,Six Acre Lane,,Six Acre Lane,,Six Acre Lane,,Runcorn Road,,,,,,NE,E0053153,Moore,Runcorn,,Runcorn,EN,Moore,EN,false,UKOS,357466,384293,-2.64048,53.3538,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2019-05-17T13:58:12,4,new,active
068000000826,halagmdj,,,Red Lion,,Red Lion,,Red Lion,,Runcorn Road,,,,,,NE,E0053153,Moore,Runcorn,,Runcorn,EN,Moore,EN,false,UKOS,357726,384256,-2.63656,53.35349,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000827,halagmdm,,,Red Lion,,Red Lion,,Red Lion,,Runcorn Road,,,,,,SE,E0053153,Moore,Runcorn,,Runcorn,EN,Moore,EN,false,UKOS,357723,384248,-2.63661,53.35342,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000828,halagmdp,,,Canalside,,Canalside,,Canalside,,Runcorn Road,,,,,,N,E0053153,Moore,Runcorn,,Runcorn,EN,Moore,EN,false,UKOS,358064,384424,-2.63151,53.35502,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000829,halagmdt,,,Canalside,,Canalside,,Canalside,,Runcorn Road,,,,,,S,E0053153,Moore,Runcorn,,Runcorn,EN,Moore,EN,false,UKOS,358070,384421,-2.63142,53.355,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
